Time	EMG	Muscle Force
0.726	-0.0286031	0.248377
0.727	0.0335978	0.248007
0.728	0.074096	0.248377
0.729	0.0496081	0.248377
0.73	-0.0505394	0.248007
0.731	-0.0611256	0.248747
0.732	0.0170579	0.248377
0.733	0.0306106	0.248377
0.734	0.0539224	0.248747
0.735	-0.0178869	0.248377
0.736	-0.0796867	0.248377
0.737	0.0165652	0.248747
0.738	0.0351012	0.248377
0.739	-0.0229599	0.248747
0.74	-0.00589744	0.249117
0.741	0.0121733	0.248377
0.742	-0.041027	0.248377
0.743	-0.0131409	0.248747
0.744	0.0866785	0.248377
0.745	0.0913353	0.248377
0.746	0.038485	0.248747
0.747	-0.143112	0.248377
0.748	-0.191891	0.248747
0.749	0.0414007	0.249117
0.75	0.135405	0.248747
0.751	-0.0386715	0.248377
0.752	0.0297512	0.248747
0.753	0.063755	0.248747
0.754	0.0488765	0.248747
0.755	0.0357055	0.249117
0.756	-0.0317343	0.248377
0.757	-0.183944	0.248747
0.758	-0.157314	0.248747
0.759	0.0385269	0.248377
0.76	0.135185	0.248747
0.761	0.166944	0.248007
0.762	0.130475	0.248747
0.763	-0.0556476	0.249117
0.764	-0.104142	0.248747
0.765	-0.121591	0.248377
0.766	-0.151853	0.248747
0.767	-0.0514469	0.248747
0.768	0.0941325	0.248747
0.769	0.186207	0.248747
0.77	0.160889	0.248747
0.771	0.0790299	0.248377
0.772	-0.117523	0.248007
0.773	-0.179072	0.248377
0.774	-0.104926	0.248007
0.775	-0.0269584	0.248747
0.776	0.0107779	0.248747
0.777	0.0408246	0.248747
0.778	0.116305	0.248377
0.779	0.147406	0.248377
0.78	0.0386896	0.248747
0.781	-0.0653873	0.248747
0.782	-0.157434	0.248007
0.783	-0.221743	0.248377
0.784	-0.00553667	0.248007
0.785	0.255281	0.248377
0.786	0.198207	0.248747
0.787	0.00449135	0.248747
0.788	-0.131858	0.248377
0.789	-0.150292	0.249117
0.79	-0.0797598	0.248377
0.791	0.0472901	0.248747
0.792	0.0556529	0.248007
0.793	0.0357909	0.248747
0.794	0.0739272	0.248007
0.795	0.0499787	0.248377
0.796	-0.0243521	0.248377
0.797	-0.0526996	0.249117
0.798	0.013619	0.248377
0.799	-0.0350732	0.248377
0.8	-0.119506	0.248377
0.801	-0.0830092	0.248377
0.802	0.0628144	0.248377
0.803	0.188141	0.248007
0.804	0.124862	0.248747
0.805	-0.0337598	0.248007
0.806	-0.147829	0.248377
0.807	-0.0590656	0.248747
0.808	0.0404975	0.248747
0.809	0.0292291	0.248377
0.81	-0.0482174	0.248747
0.811	-0.0552575	0.248377
0.812	0.0421524	0.248377
0.813	0.106745	0.248377
0.814	0.0417744	0.248377
0.815	-0.00856642	0.248747
0.816	-0.11058	0.248377
0.817	-0.0894988	0.248747
0.818	0.0647897	0.248377
0.819	0.0532437	0.248377
0.82	0.0574521	0.248377
0.821	0.0305002	0.248377
0.822	-0.0869667	0.248747
0.823	-0.103824	0.248747
0.824	0.0287452	0.248007
0.825	0.0652273	0.248747
0.826	0.0162158	0.248747
0.827	-0.021239	0.248007
0.828	0.00253978	0.248377
0.829	0.0872508	0.248747
0.83	0.031744	0.248377
0.831	-0.0808981	0.248007
0.832	-0.106228	0.248377
0.833	-0.0977203	0.248747
0.834	0.0179742	0.248377
0.835	0.146189	0.248747
0.836	0.132874	0.248007
0.837	0.0561039	0.248747
0.838	-0.0595467	0.248377
0.839	-0.132386	0.248377
0.84	-0.137256	0.248377
0.841	-0.0334199	0.248377
0.842	0.102308	0.248007
0.843	0.101026	0.248377
0.844	0.0516199	0.248377
0.845	0.0286821	0.248377
0.846	-0.0135355	0.248377
0.847	-0.0741584	0.248747
0.848	-0.0694668	0.248377
0.849	-0.0477196	0.248747
0.85	0.0351109	0.248747
0.851	0.0815629	0.248377
0.852	0.0168242	0.248747
0.853	-0.0263201	0.248747
0.854	0.0384569	0.248377
0.855	0.021067	0.248747
0.856	-0.0516799	0.248377
0.857	-0.0789091	0.248377
0.858	0.0097793	0.248377
0.859	0.0819553	0.248377
0.86	0.0120424	0.248377
0.861	-0.0807487	0.248377
0.862	-0.0281942	0.248377
0.863	0.073522	0.248007
0.864	0.0972839	0.248007
0.865	-0.00541163	0.248747
0.866	-0.0766902	0.248377
0.867	-0.0583983	0.248377
0.868	-0.0168495	0.248377
0.869	0.0109682	0.247636
0.87	-0.0170035	0.248377
0.871	0.0369072	0.248377
0.872	0.0688498	0.248377
0.873	0.0163884	0.248747
0.874	-0.0109113	0.248377
0.875	-0.0342274	0.248377
0.876	-0.0279763	0.248377
0.877	0.0312111	0.248747
0.878	0.0298616	0.248747
0.879	-0.119471	0.248747
0.88	-0.0442116	0.248377
0.881	0.0579275	0.248377
0.882	0.0283148	0.248007
0.883	0.0398343	0.248377
0.884	0.0668514	0.248007
0.885	0.0131016	0.248377
0.886	0.00684108	0.248377
0.887	-0.0268379	0.248377
0.888	-0.178725	0.248377
0.889	-0.0865086	0.248377
0.89	0.0941769	0.248377
0.891	0.121682	0.248377
0.892	0.0603063	0.248007
0.893	-0.0344021	0.248377
0.894	-0.0475007	0.248747
0.895	0.00275904	0.248377
0.896	0.0284443	0.248377
0.897	-0.0122253	0.249117
0.898	-0.0586166	0.248377
0.899	-0.0233328	0.248377
0.9	0.05351	0.248007
0.901	0.0398259	0.248747
0.902	-0.0167001	0.249117
0.903	-0.0232259	0.248377
0.904	-0.0376786	0.248007
0.905	-0.016247	0.248377
0.906	0.0392811	0.248377
0.907	0.0811777	0.248747
0.908	0.0435735	0.248377
0.909	0.00273891	0.248377
0.91	-0.0344109	0.248007
0.911	-0.147094	0.248377
0.912	-0.135343	0.248377
0.913	0.0450597	0.248377
0.914	0.169515	0.248377
0.915	0.122857	0.249117
0.916	-0.000859202	0.248747
0.917	-0.0726394	0.248377
0.918	-0.0400804	0.248377
0.919	-0.0398305	0.248377
0.92	0.0117008	0.248377
0.921	0.0295066	0.248377
0.922	-0.0441959	0.248377
0.923	-0.0768413	0.249117
0.924	0.0909318	0.248747
0.925	0.0716039	0.248007
0.926	-0.0448476	0.248377
0.927	-0.0639642	0.248747
0.928	0.0482392	0.248377
0.929	0.0494904	0.248747
0.93	0.0412649	0.249117
0.931	0.00974889	0.248377
0.932	-0.0651577	0.248377
0.933	-0.122069	0.248377
0.934	-0.0753976	0.248377
